Date,Visitor,VisitorPts,Home,HomePts
10/30/2013,ORL,87,IND,97
10/30/2013,LAC,103,LAL,116
10/30/2013,CHI,95,MIA,107
10/30/2013,BRK,94,CLE,98
10/30/2013,ATL,109,DAL,118
10/30/2013,WAS,102,DET,113
10/30/2013,LAL,94,GSW,125
10/30/2013,CHA,83,HOU,96
10/30/2013,ORL,115,MIN,120
10/30/2013,IND,95,NOP,90
10/30/2013,MIL,83,NYK,90
10/30/2013,MIA,110,PHI,114
10/30/2013,POR,91,PHO,104
10/30/2013,DEN,88,SAC,90
10/30/2013,MEM,94,SAS,101
10/30/2013,BOS,87,TOR,93
10/30/2013,OKC,101,UTA,98
10/30/2013,NYK,81,CHI,82
10/30/2013,GSW,115,LAC,126
10/30/2013,TOR,95,ATL,102
10/30/2013,MIL,105,BOS,98
10/30/2013,MIA,100,BRK,101
10/30/2013,CLE,84,CHA,90
10/30/2013,POR,113,DEN,98
10/30/2013,DAL,105,HOU,113
10/30/2013,SAS,91,LAL,85
10/30/2013,DET,108,MEM,111
10/30/2013,OKC,81,MIN,100
10/30/2013,NOP,90,ORL,110
10/30/2013,UTA,84,PHO,87
10/30/2013,LAC,110,SAC,101
10/30/2013,PHI,109,WAS,102
10/30/2013,MEM,99,DAL,111
10/30/2013,SAC,87,GSW,98
10/30/2013,CLE,74,IND,89
10/30/2013,TOR,97,MIL,90
10/30/2013,CHA,84,NOP,105
10/30/2013,CHI,104,PHI,107
10/30/2013,SAS,105,POR,115
10/30/2013,HOU,104,UTA,93
10/30/2013,BOS,77,DET,87
10/30/2013,ATL,103,LAL,105
10/30/2013,WAS,93,MIA,103
10/30/2013,MIN,109,NYK,100
10/30/2013,PHO,96,OKC,103
10/30/2013,BRK,86,ORL,107
10/30/2013,MIN,92,CLE,93
10/30/2013,HOU,118,LAC,137
10/30/2013,BOS,88,MEM,95
10/30/2013,GSW,110,PHI,90
10/30/2013,UTA,88,BRK,104
10/30/2013,LAL,104,DAL,123
10/30/2013,SAS,102,DEN,94
10/30/2013,IND,99,DET,91
10/30/2013,PHO,104,NOP,98
10/30/2013,CHA,102,NYK,97
10/30/2013,HOU,116,POR,101
10/30/2013,ATL,105,SAC,100
10/30/2013,MIA,104,TOR,95
10/30/2013,UTA,87,BOS,97
10/30/2013,TOR,90,CHA,92
10/30/2013,CHI,80,IND,97
10/30/2013,NOP,99,MEM,84
10/30/2013,CLE,104,MIL,109
10/30/2013,GSW,106,MIN,93
10/30/2013,DAL,93,OKC,107
10/30/2013,LAC,90,ORL,98
10/30/2013,WAS,116,PHI,102
10/30/2013,PHO,96,SAS,99
10/30/2013,ATL,107,DEN,109
10/30/2013,LAL,99,HOU,98
10/30/2013,LAC,97,MIA,102
10/30/2013,NYK,101,CHA,91
10/30/2013,UTA,73,CHI,97
10/30/2013,OKC,119,DET,110
10/30/2013,TOR,84,IND,91
10/30/2013,DAL,108,MIN,116
10/30/2013,LAL,85,NOP,96
10/30/2013,BOS,91,ORL,89
10/30/2013,CLE,79,PHI,94
10/30/2013,DEN,103,PHO,114
10/30/2013,SAC,91,POR,104
10/30/2013,GSW,74,SAS,76
10/30/2013,BRK,108,WAS,112
10/30/2013,ORL,94,ATL,104
10/30/2013,IND,96,BRK,91
10/30/2013,PHI,125,CLE,127
10/30/2013,LAC,107,HOU,94
10/30/2013,GSW,90,MEM,108
10/30/2013,BOS,111,MIA,110
10/30/2013,DAL,91,MIL,83
10/30/2013,POR,96,SAC,85
10/30/2013,UTA,91,TOR,115
10/30/2013,MIN,113,LAL,90
10/30/2013,SAS,120,NYK,89
10/30/2013,WAS,105,OKC,106
10/30/2013,NOP,94,PHO,101
10/30/2013,ORL,105,BOS,120
10/30/2013,ATL,103,CHA,94
10/30/2013,CLE,81,CHI,96
10/30/2013,TOR,104,HOU,110
10/30/2013,MEM,79,IND,95
10/30/2013,MIN,107,LAC,109
10/30/2013,SAS,109,PHI,85
10/30/2013,DET,103,POR,109
10/30/2013,DEN,100,UTA,81
10/30/2013,WAS,95,DAL,105
10/30/2013,DET,95,GSW,113
10/30/2013,NOP,95,LAL,116
10/30/2013,MIL,95,MIA,118
10/30/2013,NYK,95,ATL,91
10/30/2013,CHA,89,BOS,83
10/30/2013,LAL,99,DEN,111
10/30/2013,OKC,103,LAC,111
10/30/2013,TOR,103,MEM,87
10/30/2013,CLE,95,MIN,124
10/30/2013,MIL,91,ORL,94
10/30/2013,HOU,117,PHI,123
10/30/2013,PHO,89,POR,90
10/30/2013,BRK,86,SAC,107
10/30/2013,WAS,79,SAS,92
10/30/2013,NOP,105,UTA,111
10/30/2013,OKC,115,GSW,116
10/30/2013,HOU,109,NYK,106
10/30/2013,PHI,103,ATL,113
10/30/2013,POR,109,BOS,96
10/30/2013,CHA,86,CLE,80
10/30/2013,MIN,113,DEN,117
10/30/2013,MIL,77,IND,104
10/30/2013,MEM,89,LAL,86
10/30/2013,DAL,104,MIA,110
10/30/2013,BRK,100,PHO,98
10/30/2013,DET,97,SAC,90
10/30/2013,CHI,96,TOR,80
10/30/2013,SAS,91,UTA,82
10/30/2013,MIA,97,CHA,81
10/30/2013,IND,94,CHI,110
10/30/2013,UTA,88,GSW,102
10/30/2013,DEN,111,HOU,122
10/30/2013,BRK,103,LAC,110
10/30/2013,OKC,92,MIL,79
10/30/2013,BOS,88,MIN,106
10/30/2013,PHI,98,NOP,135
10/30/2013,ATL,110,NYK,90
10/30/2013,DAL,108,ORL,100
10/30/2013,CLE,103,WAS,96
10/30/2013,DET,99,LAL,114
10/30/2013,MEM,97,SAC,86
10/30/2013,POR,118,TOR,110
10/30/2013,POR,108,BRK,98
10/30/2013,CHA,81,CHI,86
10/30/2013,PHI,94,DAL,97
10/30/2013,MEM,106,LAC,102
10/30/2013,DEN,113,OKC,115
10/30/2013,GSW,98,UTA,87
10/30/2013,NYK,86,DET,92
10/30/2013,BOS,85,HOU,109
10/30/2013,ATL,88,MIA,104
10/30/2013,PHO,104,SAC,107
10/30/2013,MIN,100,WAS,104
10/30/2013,DET,85,ATL,93
10/30/2013,BRK,91,CHA,95
10/30/2013,WAS,98,CLE,91
10/30/2013,HOU,120,DAL,123
10/30/2013,MEM,88,GSW,81
10/30/2013,POR,91,MIL,82
10/30/2013,LAC,102,MIN,98
10/30/2013,UTA,98,NOP,105
10/30/2013,IND,103,NYK,96
10/30/2013,MIA,120,ORL,92
10/30/2013,TOR,108,PHI,98
10/30/2013,SAC,113,PHO,106
10/30/2013,BOS,93,SAS,104
10/30/2013,CHI,87,DEN,97
10/30/2013,LAC,91,OKC,105
10/30/2013,IND,97,BOS,82
10/30/2013,PHO,98,CHA,91
10/30/2013,UTA,93,DAL,103
10/30/2013,ATL,96,DET,89
10/30/2013,GSW,95,LAL,102
10/30/2013,SAS,102,MEM,86
10/30/2013,BRK,81,MIN,111
10/30/2013,CLE,100,NOP,104
10/30/2013,MIL,107,PHI,115
10/30/2013,CHI,95,POR,98
10/30/2013,WAS,88,TOR,96
10/30/2013,BOS,94,ATL,87
10/30/2013,DAL,100,DEN,102
10/30/2013,POR,113,GSW,101
10/30/2013,MIN,101,HOU,112
10/30/2013,PHI,98,IND,106
10/30/2013,SAC,102,LAC,103
10/30/2013,ORL,99,MIA,101
10/30/2013,CHA,96,MIL,72
10/30/2013,CLE,96,SAS,126
10/30/2013,NYK,89,WAS,98
10/30/2013,DET,109,BRK,97
10/30/2013,CHI,82,LAC,121
10/30/2013,SAC,86,LAL,100
10/30/2013,UTA,73,OKC,95
10/30/2013,PHO,104,ORL,96
10/30/2013,BOS,96,CHA,86
10/30/2013,DEN,110,DAL,96
10/30/2013,MIL,94,DET,113
10/30/2013,MIN,84,IND,98
10/30/2013,HOU,93,MEM,86
10/30/2013,PHO,92,MIA,107
10/30/2013,NYK,91,POR,102
10/30/2013,NOP,93,SAS,112
10/30/2013,CHI,83,UTA,89
10/30/2013,ORL,109,ATL,92
10/30/2013,GSW,102,NOP,101
10/30/2013,BRK,102,TOR,100
10/30/2013,LAL,111,WAS,116
10/30/2013,MEM,100,BOS,93
10/30/2013,LAL,99,BRK,94
10/30/2013,IND,99,CHA,74
10/30/2013,MIA,95,CLE,84
10/30/2013,GSW,99,DAL,103
10/30/2013,CHI,99,DET,79
10/30/2013,ATL,84,HOU,113
10/30/2013,NYK,80,LAC,93
10/30/2013,WAS,100,MIL,92
10/30/2013,DEN,117,MIN,110
